feature,mean_correct,mean_wrong,std_correct,std_wrong,cohen_d_wrong_minus_correct
first_content_token_prob,0.6104954912855819,0.5900949794780265,0.18862403904210504,0.16896821221331446,-0.11936706828633631
sequence_content_logprob_mean,-0.32196410478712006,-0.5354100407487357,0.14343601573142306,0.22076190522788314,-0.9941445396452964
workspace_noise_score,1.1306404416258227,2.2804859497017858,0.8220299019323343,0.7673734946377636,1.4881838331402806
late_entropy_topk_mean,1.1272555107310198,1.935083540315323,0.7175423507400577,0.6441710078925783,1.240170033306823
late_effective_concepts_topk_mean,5.1143727140308535,12.287898395986034,4.378290492292958,6.212847568029006,1.182811271185702
late_top1_dominance_topk_mean,0.6666204163150208,0.4864480618816579,0.18924793719469382,0.16009672368372974,-1.1050484807755159
late_top1_margin_mean,2.1978462837837838,1.4342309241872198,1.545786388849151,0.8070473048976557,-0.8464179043323811
late_distinct_top1_count,3.1027027027027025,3.9411434977578477,1.6269614393907412,1.310644985834105,0.6241204818535018
late_top1_churn_rate,0.34440154440154436,0.4707719410634209,0.25899487871880944,0.2145412121404049,0.5768169690401082
late_top5_jaccard_adjacent_mean,0.569127290555862,0.4510091592690888,0.1709199734451827,0.13459270810806861,-0.8534809137293677
