label_regime,feature_set,feature,coefficient_for_wrong
primary_with_llm_judge,combined_compact,first_content_token_prob,0.0935733214211757
primary_with_llm_judge,combined_compact,sequence_content_logprob_mean,-1.0765943524170984
primary_with_llm_judge,combined_compact,answer_length_content_tokens,0.5113913498347716
primary_with_llm_judge,combined_compact,late_entropy_topk_mean,1.8787087733175154
primary_with_llm_judge,combined_compact,late_top1_dominance_topk_mean,0.916733399457121
primary_with_llm_judge,combined_compact,late_top1_churn_rate,-0.17162300565229008
primary_with_llm_judge,combined_full,first_content_token_prob,0.19011632504118314
primary_with_llm_judge,combined_full,sequence_content_logprob_mean,-0.8590012389283069
primary_with_llm_judge,combined_full,answer_length_content_tokens,0.466757892125187
primary_with_llm_judge,combined_full,late_entropy_topk_mean,1.606045035400254
primary_with_llm_judge,combined_full,late_entropy_topk_std,0.1387807130557186
primary_with_llm_judge,combined_full,late_entropy_topk_slope,0.9262853584509707
primary_with_llm_judge,combined_full,late_effective_concepts_topk_mean,0.10545945939277412
primary_with_llm_judge,combined_full,late_top1_dominance_topk_mean,0.7419807434785535
primary_with_llm_judge,combined_full,late_top1_margin_mean,-0.16194406288056098
primary_with_llm_judge,combined_full,late_distinct_top1_count,-0.5861157029766384
primary_with_llm_judge,combined_full,late_top1_churn_rate,0.17702328223249342
primary_with_llm_judge,combined_full,late_top5_jaccard_adjacent_mean,0.17385112090083243
