label_regime,feature_set,features,roc_auc,roc_auc_per_fold_std,n_folds_with_both_classes,pr_auc,n_splits,n,n_wrong
strict,baseline_output_confidence,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens']",0.8084590477043138,0.041670455323531454,5,0.9382817091271821,5,1319,1068
strict,workspace_noise_single,['workspace_noise_score'],0.7406292433263201,0.014537121917369205,5,0.922047950153027,5,1319,1068
strict,workspace_compact,"['late_entropy_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_churn_rate']",0.7350448393691154,0.03348909078303373,5,0.9195662111373315,5,1319,1068
strict,workspace_full,"['late_entropy_topk_mean', 'late_entropy_topk_std', 'late_entropy_topk_slope', 'late_effective_concepts_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_margin_mean', 'late_distinct_top1_count', 'late_top1_churn_rate', 'late_top5_jaccard_adjacent_mean']",0.7897138039601892,0.03271987658089362,5,0.9354667739904248,5,1319,1068
strict,combined_compact,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens', 'late_entropy_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_churn_rate']",0.8125848665264037,0.04185880046339763,5,0.9415679179418344,5,1319,1068
strict,combined_full,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens', 'late_entropy_topk_mean', 'late_entropy_topk_std', 'late_entropy_topk_slope', 'late_effective_concepts_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_margin_mean', 'late_distinct_top1_count', 'late_top1_churn_rate', 'late_top5_jaccard_adjacent_mean']",0.8229031439783936,0.03972734403122713,5,0.9432664807335702,5,1319,1068
strict,workspace_late_late_single,['late_late_entropy_topk_mean'],0.7406292433263201,0.014537121917369205,5,0.922047950153027,5,1319,1068
strict,workspace_late_late_full,"['late_late_entropy_topk_mean', 'late_late_entropy_topk_std', 'late_late_entropy_topk_slope']",0.7824395302684393,0.031011202654300456,5,0.9334548947806638,5,1319,1068
strict,commitment_dynamics_single,['late_top1_dominance_topk_mean'],0.7180491517077756,0.024089090492229383,5,0.912903698977259,5,1319,1068
strict,commitment_dynamics_full,"['late_top1_dominance_topk_mean', 'late_top1_dominance_last3_max_minus_mean', 'late_top1_churn_rate']",0.7249242729456704,0.028316508472923208,5,0.9169409779913913,5,1319,1068
strict,layer_l33_single,['layer_l33_entropy_topk'],0.7587216676365698,0.03381494703823512,5,0.9183717847567716,5,1319,1068
strict,layer_l33_full,"['layer_l33_entropy_topk', 'layer_l33_top1_dominance_topk', 'layer_l33_top1_margin']",0.7659250637897848,0.034330397995587264,5,0.9248988861271253,5,1319,1068
strict,layer_l33_diff,['layer_l33_l34_entropy_diff'],0.6399980601936822,0.03189021685075826,5,0.8561631934231921,5,1319,1068
strict,layer_l33_diff_in_full,"['layer_l33_l34_entropy_diff', 'layer_l33_entropy_topk', 'layer_l33_top1_dominance_topk']",0.7827528835966995,0.035078934750688684,5,0.9336493104008502,5,1319,1068
expanded_deterministic,baseline_output_confidence,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens']",0.8040431266846362,0.02077199266384074,5,0.9339210194896643,5,1319,1060
expanded_deterministic,workspace_noise_single,['workspace_noise_score'],0.7375209441247177,0.039172028537276485,5,0.9180244272302205,5,1319,1060
