noise_decile,n,wrong_rate,mean_noise,mean_conf
0,71,0.4225352112676056,0.7783861283559687,0.9824974528500732
1,71,0.4647887323943662,1.235454977109537,0.9335830933611158
2,71,0.5492957746478874,1.4455056958398977,0.9439247284137028
3,71,0.6197183098591549,1.581028633482892,0.910826326256067
4,71,0.5915492957746479,1.7118578352178382,0.8976216786344287
5,70,0.7142857142857143,1.8371231590562298,0.8539196218763079
6,71,0.7183098591549296,1.9871255536747334,0.8554924558585798
7,71,0.7746478873239436,2.138724770353661,0.8328641963676667
8,71,0.7887323943661971,2.312637074323187,0.8230236374156575
9,71,0.9014084507042254,2.5562420732118714,0.7585643697792376
