feature,mean_correct,mean_wrong,std_correct,std_wrong,cohen_d_wrong_minus_correct
first_content_token_prob,0.8670089873713214,0.6305233567862156,0.19579155205992393,0.23544478946009875,-1.0411932369891705
sequence_content_logprob_mean,-0.12542588392227025,-0.14779414729674736,0.055348686867539354,0.04939747553101985,-0.4403464951603725
workspace_noise_score,1.6363334937208456,2.0829339183792945,0.5005982921184204,0.4827685237122407,0.9173527441021525
late_entropy_topk_mean,2.1117598088127503,2.40894852364011,0.43835880481975414,0.42821129328239105,0.6903102076864599
late_effective_concepts_topk_mean,14.853244486506886,16.576624500544316,5.237675882031899,5.452981941293741,0.31883161012127104
late_top1_dominance_topk_mean,0.4620061888297616,0.3676064174981373,0.11907104696664635,0.12069254704320068,-0.7845092548497075
late_top1_margin_mean,1.8285893793706294,1.0511190233977619,0.9789959800332922,0.6494691910864253,-1.0555444239769205
late_distinct_top1_count,4.674825174825175,4.747711088504578,1.1769105277724188,1.2414400800897678,0.05939104650115368
late_top1_churn_rate,0.5509490509490509,0.5731725039965122,0.17692167807665812,0.19210991730353313,0.11770896646118024
late_top5_jaccard_adjacent_mean,0.33404294118579836,0.37965423538014725,0.0993763958114522,0.09993288885161496,0.4569904489042818
