label_regime,feature_set,feature,coefficient_for_wrong
primary_with_llm_judge,combined_compact,first_content_token_prob,-0.8713118171517017
primary_with_llm_judge,combined_compact,sequence_content_logprob_mean,-0.21282078405459673
primary_with_llm_judge,combined_compact,answer_length_content_tokens,0.5361898493987118
primary_with_llm_judge,combined_compact,late_entropy_topk_mean,0.11390435883643298
primary_with_llm_judge,combined_compact,late_top1_dominance_topk_mean,-0.3159891427066328
primary_with_llm_judge,combined_compact,late_top1_churn_rate,-0.19550195039287716
primary_with_llm_judge,combined_full,first_content_token_prob,-0.5036540306455625
primary_with_llm_judge,combined_full,sequence_content_logprob_mean,-0.22712127455339726
primary_with_llm_judge,combined_full,answer_length_content_tokens,0.4719169026298976
primary_with_llm_judge,combined_full,late_entropy_topk_mean,0.4593805720556855
primary_with_llm_judge,combined_full,late_entropy_topk_std,-0.47611174334010553
primary_with_llm_judge,combined_full,late_entropy_topk_slope,0.07590548868517087
primary_with_llm_judge,combined_full,late_effective_concepts_topk_mean,0.3958870917449657
primary_with_llm_judge,combined_full,late_top1_dominance_topk_mean,0.6773930111245615
primary_with_llm_judge,combined_full,late_top1_margin_mean,-0.39664205590235196
primary_with_llm_judge,combined_full,late_distinct_top1_count,-0.32945306309882044
primary_with_llm_judge,combined_full,late_top1_churn_rate,0.17769720676595166
primary_with_llm_judge,combined_full,late_top5_jaccard_adjacent_mean,0.11604019115509909
