feature,mean_correct,mean_wrong,std_correct,std_wrong,cohen_d_wrong_minus_correct
first_content_token_prob,0.7041919088320612,0.6149185334382283,0.2355280100285067,0.22073790085918754,-0.4003753311119598
sequence_content_logprob_mean,-0.27101935377621383,-0.35290133657950407,0.13096238077778335,0.16479904990886218,-0.510893211682307
workspace_noise_score,1.321009587178246,1.8382884478869181,0.6089874822007956,0.7139664825428388,0.7394700115184702
late_entropy_topk_mean,1.3696132500210505,1.7240687050318426,0.5377972065013893,0.6174303615164689,0.5845405842178277
late_effective_concepts_topk_mean,6.158651392249506,8.786060522432109,3.5448181785292534,5.3598390217589165,0.5118184106845469
late_top1_dominance_topk_mean,0.61179103492507,0.5182386603989567,0.1462029195545163,0.15887338178058483,-0.5955891591491907
late_top1_margin_mean,1.892937725631769,1.4618196350592638,1.0859370647806734,0.8780014039074265,-0.47295639721187405
late_distinct_top1_count,3.7509025270758123,4.031815346225827,1.2907309949537003,1.3660264823205341,0.20728162869973227
late_top1_churn_rate,0.4522949974213512,0.4873897157116121,0.21313719311768706,0.22060590701115293,0.15986719805399932
late_top5_jaccard_adjacent_mean,0.4682805733605115,0.46304052916654287,0.14186047127498233,0.13722752824895004,-0.03799386572069513
