noise_decile,n,wrong_rate,mean_noise,mean_conf
0,90,0.7111111111111111,0.5048897999808185,0.8434535165627798
1,90,0.6444444444444445,0.8813906628629408,0.8545728372202979
2,90,0.7666666666666667,1.1076173287798965,0.8510537723700206
3,89,0.7640449438202247,1.3135650421793932,0.850489549422532
4,90,0.8222222222222222,1.486884208260793,0.8601204031043582
5,90,0.7888888888888889,1.6963186028700632,0.8384280032581753
6,89,0.8764044943820225,1.9065100247903368,0.8130656467394882
7,90,0.8666666666666667,2.1370063287490564,0.8139323426617516
8,90,0.9333333333333333,2.4089179252874517,0.8000120202700297
9,90,0.9888888888888889,2.853324380715688,0.7638176275624169
