label_regime,feature_set,feature,coefficient_for_wrong
primary_with_llm_judge,combined_compact,first_content_token_prob,-0.16526217591501324
primary_with_llm_judge,combined_compact,sequence_content_logprob_mean,-0.43655456746133176
primary_with_llm_judge,combined_compact,answer_length_content_tokens,0.006444771746925109
primary_with_llm_judge,combined_compact,late_entropy_topk_mean,0.2352445453727462
primary_with_llm_judge,combined_compact,late_top1_dominance_topk_mean,-0.5036816981100842
primary_with_llm_judge,combined_compact,late_top1_churn_rate,-0.26775730879012566
primary_with_llm_judge,combined_full,first_content_token_prob,-0.09549410443100256
primary_with_llm_judge,combined_full,sequence_content_logprob_mean,-0.26731615731171143
primary_with_llm_judge,combined_full,answer_length_content_tokens,0.05834300088316285
primary_with_llm_judge,combined_full,late_entropy_topk_mean,0.5480076510245798
primary_with_llm_judge,combined_full,late_entropy_topk_std,-0.10028783971158037
primary_with_llm_judge,combined_full,late_entropy_topk_slope,0.6391736221035227
primary_with_llm_judge,combined_full,late_effective_concepts_topk_mean,0.10983365203179185
primary_with_llm_judge,combined_full,late_top1_dominance_topk_mean,-0.5043428447899313
primary_with_llm_judge,combined_full,late_top1_margin_mean,0.25229083185651496
primary_with_llm_judge,combined_full,late_distinct_top1_count,0.23311489634266197
primary_with_llm_judge,combined_full,late_top1_churn_rate,-0.4460946333493314
primary_with_llm_judge,combined_full,late_top5_jaccard_adjacent_mean,0.28740623554539685
