example_id,readout_position,readout_prompt_token,n_workspace_layers,all_entropy_topk_mean,all_entropy_topk_std,all_entropy_topk_min,all_entropy_topk_max,all_entropy_topk_slope,all_entropy_topk_last3_slope,all_top1_dominance_last3_max_minus_mean,all_effective_concepts_topk_mean,all_top1_dominance_topk_mean,all_top1_margin_mean,all_distinct_top1_count,all_top1_churn_rate,all_top5_jaccard_adjacent_mean,all_answer_token_best_rank,all_answer_token_mean_rank,mid_entropy_topk_mean,mid_entropy_topk_std,mid_entropy_topk_min,mid_entropy_topk_max,mid_entropy_topk_slope,mid_entropy_topk_last3_slope,mid_top1_dominance_last3_max_minus_mean,mid_effective_concepts_topk_mean,mid_top1_dominance_topk_mean,mid_top1_margin_mean,mid_distinct_top1_count,mid_top1_churn_rate,mid_top5_jaccard_adjacent_mean,mid_answer_token_best_rank,mid_answer_token_mean_rank,late_entropy_topk_mean,late_entropy_topk_std,late_entropy_topk_min,late_entropy_topk_max,late_entropy_topk_slope,late_entropy_topk_last3_slope,late_top1_dominance_last3_max_minus_mean,late_effective_concepts_topk_mean,late_top1_dominance_topk_mean,late_top1_margin_mean,late_distinct_top1_count,late_top1_churn_rate,late_top5_jaccard_adjacent_mean,late_answer_token_best_rank,late_answer_token_mean_rank,late_late_entropy_topk_mean,late_late_entropy_topk_std,late_late_entropy_topk_min,late_late_entropy_topk_max,late_late_entropy_topk_slope,late_late_entropy_topk_last3_slope,late_late_top1_dominance_last3_max_minus_mean,late_late_effective_concepts_topk_mean,late_late_top1_dominance_topk_mean,late_late_top1_margin_mean,late_late_distinct_top1_count,late_late_top1_churn_rate,late_late_top5_jaccard_adjacent_mean,late_late_answer_token_best_rank,late_late_answer_token_mean_rank,workspace_noise_score,layer_l33_entropy_topk,layer_l33_top1_dominance_topk,layer_l33_top1_margin,layer_l33_answer_token_rank,layer_l34_entropy_topk,layer_l34_top1_dominance_topk,layer_l34_top1_margin,layer_l34_answer_token_rank,layer_l33_l34_entropy_diff
ex_00000_1afa02df02c908a558b4036e80242fac,80, ,22,2.093211117115888,0.6616564292311031,0.7197174429893494,2.930548667907715,0.03361074655894709,-0.12321472167968721,0.02692661682764691,9.751765412569007,0.4271834126927636,0.8465909090909091,11,0.6190476190476191,0.37660619803476947,15,114601.22727272728,1.8438583178953691,0.6307626072788072,0.9621278047561646,2.7430777549743652,0.17800238132476806,0.26463007926940924,0.13948283592859906,7.649781902357202,0.48118426312099805,0.8409090909090909,6,0.6,0.4523809523809524,147465,149998.18181818182,2.282834567129612,0.681133278879894,0.7197174429893494,2.930548667907715,0.09780298173427592,-0.12321472167968721,0.02692661682764691,11.66685252153835,0.37695493921637535,0.828125,5,0.7142857142857143,0.2755102040816326,15,73365.75,2.469232678413391,0.3673350576654464,1.8771969079971313,2.8766262531280518,-0.028453862667083923,-0.12321472167968721,0.02692661682764691,12.579983274974511,0.3032890737056732,0.475,3,0.75,0.36408730158730157,15,35583.8,2.469232678413391,2.252126932144165,0.29945486783981323,0.125,2825,2.546891927719116,0.25134697556495667,0.125,15,-0.29476499557495117
ex_00001_a7ab086045575bb497933726e4e6ad28,74, ,22,1.4749279760501601,1.1617501698026411,0.030004844069480896,3.491854190826416,-0.07037723416968426,-0.11548162251710892,0.022737443447113037,8.62864914998733,0.6076827696101232,1.9971590909090908,6,0.38095238095238093,0.4720332577475434,1,70580.0,2.1826535070484336,1.1570463568878357,0.030004844069480896,3.491854190826416,-0.15023272254250256,-0.9283271729946136,0.1764958004156748,14.605222280445885,0.42786892638965085,1.3863636363636365,5,0.6,0.3873015873015873,5634,120220.90909090909,0.7488189525902271,0.6605930486612964,0.08718051016330719,2.141512870788574,-0.08328429857889799,-0.11548162251710892,0.022737443447113037,2.7335552079903596,0.8067417033016682,2.8515625,2,0.14285714285714285,0.5753968253968254,1,313.25,0.804997181892395,0.7988604583503768,0.08718051016330719,2.141512870788574,-0.5243245974183082,-0.11548162251710892,0.022737443447113037,3.1716241377083785,0.8104245126247406,3.3375,2,0.25,0.42361111111111105,1,2.4,0.804997181892395,0.17178376019001007,0.9709048271179199,3.875,1,0.08718051016330719,0.9896111488342285,6.1875,1,0.08460325002670288
ex_00002_b8c0a4703079cf661d7261a60a1bcbff,70, ,22,1.8847230154682288,1.0071047747750268,0.1046082004904747,3.093989133834839,-0.09335500120965183,0.1391118317842484,0.027340491612752316,9.86679263958664,0.5086624405600808,1.46875,7,0.3333333333333333,0.3994708994708994,1,81353.68181818182,2.4712747660550205,0.6531497649298788,1.0091471672058105,3.093989133834839,0.1566628716208718,-0.136086344718933,0.07703845202922821,13.942410482533965,0.3279796920039437,0.5852272727272727,5,0.5,0.42658730158730157,25472,132765.81818181818,0.8027789061889052,0.577080403869263,0.1046082004904747,1.649301528930664,-0.06290570797309979,0.1391118317842484,0.027340491612752316,2.6476157719079305,0.8119001723825932,2.953125,2,0.14285714285714285,0.48185941043083896,1,3569.625,0.8115017160773277,0.6553317197988084,0.1046082004904747,1.649301528930664,-0.36981951966881776,0.1391118317842484,0.027340491612752316,2.789211753137018,0.794500058889389,2.925,2,0.25,0.3194444444444444,1,7.0,0.8115017160773277,0.1046082004904747,0.9817655086517334,4.125,1,0.5194055438041687,0.9228810667991638,4.375,1,-0.414797343313694
ex_00003_e68fb2448fd74e402aae9982aa76e527,73, ,22,1.6298629330809822,0.9331193636382452,0.023399347439408302,3.339407444000244,-0.03835352308383467,-0.578588616102934,0.18697289625803626,7.585550374302949,0.5720923123034564,1.7954545454545454,8,0.3333333333333333,0.29724111866969016,1,65647.63636363637,2.2453137305988506,0.7930520840456481,0.023399347439408302,3.339407444000244,-0.06955323889851564,-0.06764018535614,0.31995595494906104,11.741382630775819,0.4361201416362416,1.6363636363636365,4,0.3,0.21230158730158727,3131,110068.90909090909,1.0933551685884595,0.6744403025324833,0.08972308784723282,2.512378454208374,-0.0779576582745427,-0.578588616102934,0.18697289625803626,3.866785880398967,0.6992105506360531,2.03125,3,0.2857142857142857,0.4200680272108843,1,360.25,1.0882708743214606,0.8146729556868797,0.08972308784723282,2.512378454208374,-0.3791416570544244,-0.578588616102934,0.18697289625803626,4.290046949883629,0.7151534497737885,2.45,2,0.25,0.3988095238095238,1,8.0,1.0882708743214606,0.5754069089889526,0.8632740378379822,2.375,1,0.08972308784723282,0.9879425168037415,5.375,1,0.4856838211417198
ex_00004_2435de612dd69f2012b9e40d6af4ce38,77, ,22,2.032797947525978,0.7957465335788189,0.3649587631225586,3.2623279094696045,-0.0627331830800959,-0.4896960258483887,0.27702098091443383,9.943746324525627,0.4580757360566746,1.0710227272727273,12,0.5714285714285714,0.327286470143613,1,79997.72727272728,2.629725597121499,0.3577825198865958,1.944236397743225,3.2623279094696045,-0.010211841626600717,0.04490721225738568,0.045051127672195435,14.762556831513566,0.2903538806871934,0.5795454545454546,7,0.6,0.34404761904761905,31006,128983.63636363637,1.2585698328912258,0.635671414298321,0.3649587631225586,2.288360595703125,0.02588336843819858,-0.4896960258483887,0.27702098091443383,4.274398194449441,0.6922293566167355,1.921875,4,0.42857142857142855,0.35770975056689336,1,3087.0,1.4332863807678222,0.6352596041128218,0.3649587631225586,2.288360595703125,-0.1520704030990602,-0.4896960258483887,0.27702098091443383,5.022391948987562,0.6467992007732392,1.825,3,0.5,0.30456349206349204,1,30.2,1.4332863807678222,2.288360595703125,0.30570074915885925,0.125,2,0.3649587631225586,0.9440872669219971,3.75,1,1.9234018325805664
ex_00005_a4892551cb4beb279653ae52d0de4c89,70, ,22,1.7561316647651521,0.8699441533530177,0.046365756541490555,2.988677740097046,-0.03151580045354157,-0.8407348245382309,0.20754501223564148,7.895530288184813,0.4990841563452374,1.5085227272727273,9,0.5238095238095238,0.39871504157218446,1,79099.81818181818,2.1570554917508904,0.5122284091222714,0.825752317905426,2.988677740097046,0.0734284937381745,-0.07213640213012669,0.049707273642222105,9.648716808095456,0.3428130082108758,0.6022727272727273,5,0.6,0.48809523809523814,49348,131210.0,1.294711506459862,0.9923234572291816,0.046365756541490555,2.784306287765503,-0.09430915893365935,-0.8407348245382309,0.20754501223564148,5.911771005150214,0.6807204894721508,2.8203125,3,0.2857142857142857,0.30668934240362816,1,11202.375,1.4709811307489873,1.2068258599869326,0.046365756541490555,2.784306287765503,-0.8067694108933211,-0.8407348245382309,0.20754501223564148,7.778711004544514,0.5996061265468597,2.7625,2,0.25,0.2599206349206349,1,5.2,1.4709811307489873,0.046365756541490555,0.9932262301445007,5.375,1,0.07432916760444641,0.9912936091423035,6.0625,1,-0.027963411062955856
ex_00006_118a9093a30695622363455e4d911866,78, ,22,2.121734524738382,1.3081954754491076,0.016209984198212624,3.8208184242248535,-0.15550995524394204,0.10536641627550128,0.018607258796691895,16.847313255074354,0.4224783414128152,1.2485795454545454,12,0.6666666666666666,0.29667422524565384,1,75486.27272727272,3.0887470678849653,0.7696244789523585,1.42612886428833,3.8208184242248535,-0.11936663064089684,-0.3086227178573606,0.21189309656620026,27.559902994793003,0.2152311039919203,0.6164772727272727,8,0.9,0.15119047619047618,14548,118940.09090909091,0.6681163695175201,0.4312156279859797,0.016209984198212624,1.1420624256134033,-0.13416655412653367,0.10536641627550128,0.018607258796691895,2.125384318626555,0.7445054799318314,2.3828125,3,0.2857142857142857,0.5255102040816325,1,1574.375,0.5365148920565843,0.4953602538800806,0.016209984198212624,1.1420624256134033,-0.27764119263738407,0.10536641627550128,0.018607258796691895,1.9358664390642286,0.8362539052963257,3.5125,2,0.25,0.3363095238095238,1,3.2,0.5365148920565843,0.016209984198212624,0.9981366395950317,6.75,1,0.30663445591926575,0.9554312229156494,4.3125,1,-0.2904244717210531
ex_00007_05ea49b82e8ec519e82d6633936ab8bf,72, ,22,1.8706582254645499,0.9604413858840617,0.040805425494909286,3.740342140197754,-0.049653402688996616,-0.247383326292038,0.0725801785786947,9.912638001743293,0.47298081862655555,1.1590909090909092,12,0.5714285714285714,0.38699924414210124,1,90711.36363636363,2.5391989079388706,0.5907208756268174,1.7353883981704712,3.740342140197754,0.029574304277246725,-0.2238539457321163,0.1526978462934494,15.281196197879733,0.30233909257433633,0.5056818181818182,6,0.5,0.42063492063492064,66837,140711.0,1.1923461141996086,0.8201009219700088,0.040805425494909286,2.5590126514434814,-0.18098724300840063,-0.247383326292038,0.0725801785786947,4.672549902485983,0.6569977179169655,2.0390625,6,0.7142857142857143,0.3917233560090702,1,6395.25,0.913515406101942,0.7794748845677644,0.040805425494909286,2.3099896907806396,-0.35848125554621246,-0.247383326292038,0.0725801785786947,3.52657091960819,0.7485725164413453,2.8125,3,0.5,0.42857142857142855,1,6.8,0.913515406101942,0.040805425494909286,0.9944334626197815,5.75,1,0.3547337055206299,0.9475288987159729,4.0625,1,-0.3139282800257206
ex_00008_c0c07ce781653b2a2c01871ba2bcba93,71, ,22,1.501082217828794,1.0110575875152645,0.16675926744937897,3.4438979625701904,-0.09395378302174856,0.3213895559310914,0.2082489927609762,7.900088275657662,0.5584826096892357,1.2443181818181819,11,0.47619047619047616,0.43972033257747545,3,102492.86363636363,1.6452271125533364,0.8645420038959417,0.5043462514877319,3.4438979625701904,0.0770724356174469,-1.1861190199851985,0.3095715343952179,7.94723964249273,0.527547297152606,1.1477272727272727,6,0.5,0.3849206349206349,129267,145624.0909090909,0.6970410067588091,0.3322141454626069,0.16675926744937897,1.3155659437179565,0.09278408597622596,0.3213895559310914,0.2082489927609762,2.1233805217595862,0.7269357591867447,1.5625,3,0.2857142857142857,0.5612244897959183,3,47827.25,0.8419043898582459,0.2544835890677703,0.6555957198143005,1.3155659437179565,0.1554947435855865,0.3213895559310914,0.2082489927609762,2.4039771208348517,0.662347161769867,0.95,2,0.25,0.6904761904761904,3,12885.2,0.8419043898582459,0.9035193920135498,0.5888896584510803,0.5,106,1.3155659437179565,0.40579235553741455,,3,-0.41204655170440674
ex_00009_1d24f406b6828492040b405d3f35119c,67, ,22,2.0023115883496674,1.0277419156768035,0.11063503473997116,3.529855251312256,-0.08951016430512174,0.011365845799446139,0.0011726816495259973,11.465104168969814,0.4424904774535786,1.2556818181818181,12,0.7142857142857143,0.37207105064247925,1,86180.81818181818,2.791478991508484,0.5382475668065089,1.871034026145935,3.529855251312256,-0.001704719933596398,0.40810704231262235,0.12999063233534497,18.60184466945781,0.2335007217797366,0.3522727272727273,8,0.8,0.39841269841269844,58769,138910.36363636365,1.0352654783055186,0.7435415088232916,0.11063503473997116,1.880443811416626,-0.25680681717182885,0.011365845799446139,0.0011726816495259973,3.5889737499652914,0.6787875853478909,2.34375,5,0.7142857142857143,0.4183673469387755,1,4331.625,0.6752989336848259,0.7203351759713793,0.11063503473997116,1.880443811416626,-0.37761616185307517,0.011365845799446139,0.0011726816495259973,2.611554151968448,0.7801673710346222,3.175,2,0.5,0.3988095238095238,1,1.2,0.6752989336848259,0.11063503473997116,0.9829704761505127,4.875,1,0.1349903643131256,0.981952965259552,4.875,1,-0.02435532957315445
