label_regime,feature_set,features,roc_auc,roc_auc_per_fold_std,n_folds_with_both_classes,pr_auc,n_splits,n,n_wrong
strict,baseline_output_confidence,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens']",0.646445455089462,0.07244527748275226,5,0.99107322409682,5,2000,1966
strict,workspace_noise_single,['workspace_noise_score'],0.7094279217282029,0.06493558476873998,5,0.9920816255916434,5,2000,1966
strict,workspace_compact,"['late_entropy_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_churn_rate']",0.7067799652923223,0.09052166711670359,5,0.9927414604536291,5,2000,1966
strict,workspace_full,"['late_entropy_topk_mean', 'late_entropy_topk_std', 'late_entropy_topk_slope', 'late_effective_concepts_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_margin_mean', 'late_distinct_top1_count', 'late_top1_churn_rate', 'late_top5_jaccard_adjacent_mean']",0.717521393094369,0.09860482816764736,5,0.9922036588016219,5,2000,1966
strict,combined_compact,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens', 'late_entropy_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_churn_rate']",0.7152923224223566,0.0702322523748229,5,0.9931239477479344,5,2000,1966
strict,combined_full,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens', 'late_entropy_topk_mean', 'late_entropy_topk_std', 'late_entropy_topk_slope', 'late_effective_concepts_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_margin_mean', 'late_distinct_top1_count', 'late_top1_churn_rate', 'late_top5_jaccard_adjacent_mean']",0.7239991622284723,0.08293344235460316,5,0.9925530185787536,5,2000,1966
strict,workspace_late_late_single,['late_late_entropy_topk_mean'],0.7094279217282029,0.06493558476873998,5,0.9920816255916434,5,2000,1966
strict,workspace_late_late_full,"['late_late_entropy_topk_mean', 'late_late_entropy_topk_std', 'late_late_entropy_topk_slope']",0.6890970019747472,0.12205225390358435,5,0.9904911623218556,5,2000,1966
strict,commitment_dynamics_single,['late_top1_dominance_topk_mean'],0.6693345700436839,0.0686640887498727,5,0.9898176133284069,5,2000,1966
strict,commitment_dynamics_full,"['late_top1_dominance_topk_mean', 'late_top1_dominance_last3_max_minus_mean', 'late_top1_churn_rate']",0.714170306983424,0.071762987369538,5,0.9929476783248813,5,2000,1966
strict,layer_l33_single,['layer_l33_entropy_topk'],0.689366285680091,0.08484513473519477,5,0.9907186663180835,5,2000,1966
strict,layer_l33_full,"['layer_l33_entropy_topk', 'layer_l33_top1_dominance_topk', 'layer_l33_top1_margin']",0.6508736760217821,0.10249375551431418,5,0.9891247121642679,5,2000,1966
strict,layer_l33_diff,['layer_l33_l34_entropy_diff'],0.509754054215786,0.07191988374361576,5,0.9846444457787552,5,2000,1966
strict,layer_l33_diff_in_full,"['layer_l33_l34_entropy_diff', 'layer_l33_entropy_topk', 'layer_l33_top1_dominance_topk']",0.6944228352582131,0.08467644438795094,5,0.9921404578255483,5,2000,1966
expanded_deterministic,baseline_output_confidence,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens']",0.6580084054368901,0.03293140307284805,5,0.9092826737815887,5,2000,1697
expanded_deterministic,workspace_noise_single,['workspace_noise_score'],0.6914084454998239,0.02182372465502416,5,0.9247001025690713,5,2000,1697
expanded_deterministic,workspace_compact,"['late_entropy_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_churn_rate']",0.6983669492464862,0.017199784799656403,5,0.9267644715761387,5,2000,1697
expanded_deterministic,workspace_full,"['late_entropy_topk_mean', 'late_entropy_topk_std', 'late_entropy_topk_slope', 'late_effective_concepts_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_margin_mean', 'late_distinct_top1_count', 'late_top1_churn_rate', 'late_top5_jaccard_adjacent_mean']",0.6996038437078829,0.005498989116798258,5,0.9276386068417477,5,2000,1697
expanded_deterministic,combined_compact,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens', 'late_entropy_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_churn_rate']",0.7231145624874804,0.00969247312863301,5,0.9319264580743852,5,2000,1697
expanded_deterministic,combined_full,"['first_content_token_prob', 'sequence_content_logprob_mean', 'answer_length_content_tokens', 'late_entropy_topk_mean', 'late_entropy_topk_std', 'late_entropy_topk_slope', 'late_effective_concepts_topk_mean', 'late_top1_dominance_topk_mean', 'late_top1_margin_mean', 'late_distinct_top1_count', 'late_top1_churn_rate', 'late_top5_jaccard_adjacent_mean']",0.7219671289462477,0.014333163942111742,5,0.9318428558952134,5,2000,1697
expanded_deterministic,workspace_late_late_single,['late_late_entropy_topk_mean'],0.6914084454998239,0.02182372465502416,5,0.9247001025690713,5,2000,1697
expanded_deterministic,workspace_late_late_full,"['late_late_entropy_topk_mean', 'late_late_entropy_topk_std', 'late_late_entropy_topk_slope']",0.6972720253757845,0.019991240821404865,5,0.9263405387553648,5,2000,1697
expanded_deterministic,commitment_dynamics_single,['late_top1_dominance_topk_mean'],0.6632574276873769,0.0220764088479041,5,0.9172007397776848,5,2000,1697
expanded_deterministic,commitment_dynamics_full,"['late_top1_dominance_topk_mean', 'late_top1_dominance_last3_max_minus_mean', 'late_top1_churn_rate']",0.6689226376968869,0.024283232975754156,5,0.9174799118106567,5,2000,1697
expanded_deterministic,layer_l33_single,['layer_l33_entropy_topk'],0.667781038563491,0.006448759035026377,5,0.91753483882971,5,2000,1697
expanded_deterministic,layer_l33_full,"['layer_l33_entropy_topk', 'layer_l33_top1_dominance_topk', 'layer_l33_top1_margin']",0.6774408731385808,0.017326893773267352,5,0.919947011879003,5,2000,1697
expanded_deterministic,layer_l33_diff,['layer_l33_l34_entropy_diff'],0.5155943997463976,0.028803492759480628,5,0.8543839282879893,5,2000,1697
expanded_deterministic,layer_l33_diff_in_full,"['layer_l33_l34_entropy_diff', 'layer_l33_entropy_topk', 'layer_l33_top1_dominance_topk']",0.680447537977133,0.021012824345557114,5,0.9233637410263237,5,2000,1697
