label_regime,feature_set,feature,coefficient_for_wrong
primary_with_llm_judge,combined_compact,first_content_token_prob,-0.32391780440693424
primary_with_llm_judge,combined_compact,sequence_content_logprob_mean,-0.5064475280668389
primary_with_llm_judge,combined_compact,answer_length_content_tokens,0.08749504540936577
primary_with_llm_judge,combined_compact,late_entropy_topk_mean,1.4619968935735126
primary_with_llm_judge,combined_compact,late_top1_dominance_topk_mean,0.6688486218940354
primary_with_llm_judge,combined_compact,late_top1_churn_rate,-0.17641777362730277
primary_with_llm_judge,combined_full,first_content_token_prob,-0.2837148474317263
primary_with_llm_judge,combined_full,sequence_content_logprob_mean,-0.4999127569331899
primary_with_llm_judge,combined_full,answer_length_content_tokens,0.0981397683474727
primary_with_llm_judge,combined_full,late_entropy_topk_mean,0.5431341204197238
primary_with_llm_judge,combined_full,late_entropy_topk_std,0.14486588418878749
primary_with_llm_judge,combined_full,late_entropy_topk_slope,0.126779079719078
primary_with_llm_judge,combined_full,late_effective_concepts_topk_mean,0.6376497765690323
primary_with_llm_judge,combined_full,late_top1_dominance_topk_mean,0.30753039422672823
primary_with_llm_judge,combined_full,late_top1_margin_mean,-0.041299871901601726
primary_with_llm_judge,combined_full,late_distinct_top1_count,0.018788416144395886
primary_with_llm_judge,combined_full,late_top1_churn_rate,-0.17086655840083545
primary_with_llm_judge,combined_full,late_top5_jaccard_adjacent_mean,0.0682873562013407
