noise_decile,n,wrong_rate,mean_noise,mean_conf
0,93,0.4838709677419355,0.5483625336057759,0.8898080260522904
1,93,0.6021505376344086,0.9056192194280965,0.8981555540074584
2,93,0.5913978494623656,1.1309418683425039,0.9059656736671283
3,93,0.6989247311827957,1.333550058784496,0.8821451407606884
4,93,0.6559139784946236,1.4948474746293614,0.8804354597163456
5,92,0.7608695652173914,1.6503081425499893,0.8795466034308724
6,93,0.7634408602150538,1.8586359947431652,0.8494770706340831
7,93,0.7526881720430108,2.079058634153872,0.846201757589976
8,93,0.8387096774193549,2.364255538134165,0.8252974940884498
9,93,0.9139784946236559,2.8139388658026214,0.7708163396004708
