feature,mean_correct,mean_wrong,std_correct,std_wrong,cohen_d_wrong_minus_correct
first_content_token_prob,0.7696071896200759,0.627489491649296,0.22823813024470352,0.23951833190220603,-0.5991524829165251
sequence_content_logprob_mean,-0.23188228360252042,-0.34213692001996693,0.1337987876172763,0.16774782223997176,-0.6838610627822679
workspace_noise_score,1.3794278419536508,1.9642279734188168,0.6404966169043136,0.750283273613585,0.8025263779593808
late_entropy_topk_mean,1.3427444857024537,1.807103747898258,0.52724069196473,0.624155208919119,0.7673104942343236
late_effective_concepts_topk_mean,5.733691422652687,9.637426022169477,3.3576806829323558,5.618277560301554,0.7468232372646946
late_top1_dominance_topk_mean,0.609713793390659,0.5028495167975608,0.14190477755036426,0.15778612615906099,-0.6912274405811879
late_top1_margin_mean,1.9836329155672823,1.4707099493361286,1.1878366624115968,0.8990590292872673,-0.5306500138782536
late_distinct_top1_count,3.9683377308707124,4.3584905660377355,1.3988090671249689,1.3945684696418847,0.2795880354239625
late_top1_churn_rate,0.4832265359969845,0.5365878007387441,0.22902509140575977,0.22098692694601776,0.2396197146993649
late_top5_jaccard_adjacent_mean,0.46280341512154544,0.4205865900984199,0.14373307725471055,0.12641044750854682,-0.32418928811293085
