label_regime,feature_set,feature,coefficient_for_wrong
primary_with_llm_judge,combined_compact,first_content_token_prob,-0.05748073479304969
primary_with_llm_judge,combined_compact,sequence_content_logprob_mean,-0.4192717182446071
primary_with_llm_judge,combined_compact,answer_length_content_tokens,0.03591167727753357
primary_with_llm_judge,combined_compact,late_entropy_topk_mean,1.597289869265833
primary_with_llm_judge,combined_compact,late_top1_dominance_topk_mean,0.6687645321023793
primary_with_llm_judge,combined_compact,late_top1_churn_rate,0.014470869850822366
primary_with_llm_judge,combined_full,first_content_token_prob,-0.04393781351731385
primary_with_llm_judge,combined_full,sequence_content_logprob_mean,-0.3808452741293845
primary_with_llm_judge,combined_full,answer_length_content_tokens,0.032868630065217556
primary_with_llm_judge,combined_full,late_entropy_topk_mean,1.3936664113034747
primary_with_llm_judge,combined_full,late_entropy_topk_std,0.09647507528546895
primary_with_llm_judge,combined_full,late_entropy_topk_slope,0.36265387411232475
primary_with_llm_judge,combined_full,late_effective_concepts_topk_mean,-0.238287503379246
primary_with_llm_judge,combined_full,late_top1_dominance_topk_mean,0.16329988727765
primary_with_llm_judge,combined_full,late_top1_margin_mean,0.1821396283954069
primary_with_llm_judge,combined_full,late_distinct_top1_count,-0.0812086896433698
primary_with_llm_judge,combined_full,late_top1_churn_rate,0.04791713849715723
primary_with_llm_judge,combined_full,late_top5_jaccard_adjacent_mean,0.02566464871496369
