label_regime,feature_set,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,bootstrap_n_effective
expanded_deterministic,baseline_output_confidence,0.7974410599467427,0.7697834257315423,0.8214435645909614,0.6392186827531096,0.5867629313673556,0.6946287040216392,1000
expanded_deterministic,combined_compact,0.8005065921932845,0.774468818971363,0.8275492179130316,0.6335720154435179,0.5855020938160105,0.6859753146091282,1000
expanded_deterministic,combined_full,0.7996460349418717,0.7719333821201854,0.8289942983883849,0.6376128291082287,0.5768304907625174,0.6948927119600655,1000
expanded_deterministic,commitment_dynamics_full,0.5549490160420861,0.5190864192655995,0.5877651020637595,0.3158909965129579,0.2829004879388643,0.35807908945526046,1000
expanded_deterministic,commitment_dynamics_single,0.5613106449308306,0.5240390256973225,0.5963201025131285,0.32156741313433845,0.2832347119734482,0.3613756383294626,1000
expanded_deterministic,layer_l33_diff,0.5713970253945573,0.5365725661753079,0.6072855265662542,0.33774262733570165,0.30083260210726626,0.38491663829669637,1000
expanded_deterministic,layer_l33_diff_in_full,0.6136032993440281,0.5817481102748955,0.6477496738023195,0.3662129709746106,0.32516965031070433,0.41639560927555386,1000
expanded_deterministic,layer_l33_full,0.5537312463466909,0.5202843774363313,0.5870133220637982,0.3246715513340181,0.2917749850157594,0.3688451258657674,1000
expanded_deterministic,layer_l33_single,0.5620607910631941,0.5258713015924178,0.597055857534315,0.33072033886422947,0.2918438867563851,0.3762672443830056,1000
expanded_deterministic,workspace_compact,0.5529616158992012,0.5194716751266371,0.5880086538813795,0.32244202028853247,0.28996771734053767,0.364046282409082,1000
expanded_deterministic,workspace_full,0.6001753588361368,0.5686430487386226,0.6325511355347271,0.34607103229991726,0.3090351418360999,0.38784923869975757,1000
expanded_deterministic,workspace_late_late_full,0.604101448334091,0.5686857738909616,0.6378591680074608,0.3701671423743189,0.325113609553832,0.421233856587734,1000
expanded_deterministic,workspace_late_late_single,0.5835552380333832,0.5473201898298163,0.618714919868913,0.332553232471428,0.29455014853147504,0.3738650552373183,1000
expanded_deterministic,workspace_noise_single,0.5835552380333832,0.5508063778867802,0.6196702504375223,0.332553232471428,0.29863446112375036,0.3754446906958878,1000
high_quality_primary,baseline_output_confidence,0.8467125424350859,0.823198663128964,0.8701317939038328,0.6630699503397063,0.6105988508831279,0.7211005869173336,1000
high_quality_primary,combined_compact,0.8451931369850445,0.8208324200971261,0.867686366849547,0.6566704634272106,0.5990728724667664,0.7122250422306566,1000
high_quality_primary,combined_full,0.8406826314340765,0.8147495690740761,0.8631859591231765,0.6560028018834778,0.5958888752457493,0.7148297674108577,1000
high_quality_primary,commitment_dynamics_full,0.5655124323332416,0.5300265580533667,0.6020055559547847,0.3011361092021928,0.2645946899179265,0.3445677254109763,1000
high_quality_primary,commitment_dynamics_single,0.5715533535186715,0.5384891678265419,0.6054051023468818,0.30359237126488947,0.268603793302348,0.34694331445022086,1000
high_quality_primary,layer_l33_diff,0.5848169556840077,0.5485782232272818,0.6205664713119836,0.3271207708272694,0.2895404167658484,0.37758094774199663,1000
